-[ipv4 : 10.0.0.0/16] - 0

[Split network]
Network			- 10.0.0.0        - 10.0.3.255
Network			- 10.0.4.0        - 10.0.7.255
Network			- 10.0.8.0        - 10.0.11.255
Network			- 10.0.12.0       - 10.0.15.255
Network			- 10.0.16.0       - 10.0.19.255
Network			- 10.0.20.0       - 10.0.23.255
Network			- 10.0.24.0       - 10.0.27.255
Network			- 10.0.28.0       - 10.0.31.255
Network			- 10.0.32.0       - 10.0.35.255
Network			- 10.0.36.0       - 10.0.39.255
Network			- 10.0.40.0       - 10.0.43.255
Network			- 10.0.44.0       - 10.0.47.255
Network			- 10.0.48.0       - 10.0.51.255
Network			- 10.0.52.0       - 10.0.55.255
Network			- 10.0.56.0       - 10.0.59.255
Network			- 10.0.60.0       - 10.0.63.255
Network			- 10.0.64.0       - 10.0.67.255
Network			- 10.0.68.0       - 10.0.71.255
Network			- 10.0.72.0       - 10.0.75.255
Network			- 10.0.76.0       - 10.0.79.255
Network			- 10.0.80.0       - 10.0.83.255
Network			- 10.0.84.0       - 10.0.87.255
Network			- 10.0.88.0       - 10.0.91.255
Network			- 10.0.92.0       - 10.0.95.255
Network			- 10.0.96.0       - 10.0.99.255
Network			- 10.0.100.0      - 10.0.103.255
Network			- 10.0.104.0      - 10.0.107.255
Network			- 10.0.108.0      - 10.0.111.255
Network			- 10.0.112.0      - 10.0.115.255
Network			- 10.0.116.0      - 10.0.119.255
Network			- 10.0.120.0      - 10.0.123.255
Network			- 10.0.124.0      - 10.0.127.255
Network			- 10.0.128.0      - 10.0.131.255
Network			- 10.0.132.0      - 10.0.135.255
Network			- 10.0.136.0      - 10.0.139.255
Network			- 10.0.140.0      - 10.0.143.255
Network			- 10.0.144.0      - 10.0.147.255
Network			- 10.0.148.0      - 10.0.151.255
Network			- 10.0.152.0      - 10.0.155.255
Network			- 10.0.156.0      - 10.0.159.255
Network			- 10.0.160.0      - 10.0.163.255
Network			- 10.0.164.0      - 10.0.167.255
Network			- 10.0.168.0      - 10.0.171.255
Network			- 10.0.172.0      - 10.0.175.255
Network			- 10.0.176.0      - 10.0.179.255
Network			- 10.0.180.0      - 10.0.183.255
Network			- 10.0.184.0      - 10.0.187.255
Network			- 10.0.188.0      - 10.0.191.255
Network			- 10.0.192.0      - 10.0.195.255
Network			- 10.0.196.0      - 10.0.199.255
Network			- 10.0.200.0      - 10.0.203.255
Network			- 10.0.204.0      - 10.0.207.255
Network			- 10.0.208.0      - 10.0.211.255
Network			- 10.0.212.0      - 10.0.215.255
Network			- 10.0.216.0      - 10.0.219.255
Network			- 10.0.220.0      - 10.0.223.255
Network			- 10.0.224.0      - 10.0.227.255
Network			- 10.0.228.0      - 10.0.231.255
Network			- 10.0.232.0      - 10.0.235.255
Network			- 10.0.236.0      - 10.0.239.255
Network			- 10.0.240.0      - 10.0.243.255
Network			- 10.0.244.0      - 10.0.247.255
Network			- 10.0.248.0      - 10.0.251.255
Network			- 10.0.252.0      - 10.0.255.255

-

